Experiment,Polarity,count,mean,sd,se
"3
 this",affirmative,84,0.362391305327448,0.0467051091489923,0.00509594519086743
"3
 this",negative,84,0.365914708670903,0.0426712186270826,0.00465581165130037
"6
 see",affirmative,100,0.27745845738039,0.0803263883801312,0.00803263883801312
"6
 see",negative,100,0.305932991875544,0.0859008556061684,0.00859008556061684
"7
 want",affirmative,100,0.270219612554486,0.0801012595165306,0.00801012595165306
"7
 want",negative,100,0.289963425760086,0.0850535929256319,0.00850535929256319
